change_request_status_id|change_request_id|sla_change_status|created_date_utc|created_user
37|3022|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD825402000000485A0CAE55F2DDA46F73FE42C204ABDF7679BE4D2B9AC40CEEE87C08B2A0CC9043213F9836A30C7EC517280D8FB39681
38|3021|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD825402000000100875A9FBB68EFC1FB4D1431EF8393673138CBBF46D9715DF479E1334EFE9FE0360175DD1C8B90BC4E3EF251A3C897A
39|3020|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD825402000000D9C1985797F9B39500E18971267ADC6FE6EFA399BE45A908280C969321252152F829D1DB585C8AF7DEF58022BE3D0711
40|3019|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD8254020000003AE6958C939A029D7965D46F53E21743D4E93A3609CCC50822E77C87B2EEF20A12F9135DED7886AE538758C2DD475921
41|3018|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD8254020000000A0219C90C223FED6BED8014570E59A8D511E9EEF5E05DE442A23A2DE3C6DB2C7A2F5CA2A6831F248779459B90321E3E
42|3017|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD8254020000009EC74B4C1A992723906CA7E307FE4D6919E10EE3857222C783FC5704D55B6D2AB10EAF3343A5831ADF8E0C42386BF66C
43|3016|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD825402000000440D5FA034B8355681BC067A3A68EFF16DBEFF271D2FDE90642AD7D8D46CB70FB29455A382E07BDF5B58153C5D2AD67B
44|3015|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD825402000000FEB7641E2E564B522B4FB64761E9670F35770AE4578F32C149501EB2370E1D355D34262DB445883DE0F6BE1E8293C41D
45|3014|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD825402000000C379D7227DA6E5A317EC6E2543529E511F68347D60094032E889CD43CAD9B01988680546B109FAE4E5FAC22350814DF4
46|3013|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD82540200000066E19B4F4E7E0B7A023219E112F92E33D005A24EA8FB4B5FEC679164749630BA017DC2AD244E6FBD8E645D1E1CC6E149
47|3012|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD82540200000075D975C92788A2731C6A45024C59123A5A3BFC423A6E2296806550ED43C0592AFC1B0300EDF62DA88EF4280BB122A24A
48|3011|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD82540200000002CCCFF10C2A521E22614E3A5068CD09B49A2F681C693CE7FEA9E69136C7084527E4437B902E513D7967A04A25C8660B
49|3010|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD8254020000000BBF58002C782D467A45BC1F3955693F06EB8D009CAF3D2A9301E5EBC931062E0F6D08E0765E4B785B89143766079E9E
50|3009|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD8254020000005F6ECD039A16B886106E5501DB9498A7CB5CD0E2B12573B59EFCA6752322623AA6AF6298F6C2AA241837BAE55D5C5822
51|3008|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD82540200000011DCC87097E4423AF79225B37970A2179BBACBFD10C135BA14C45053695AF0E271516005BE3AA26CA8008DD0F772444A
52|3007|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD82540200000020E644319CC492DF4B684EDDB128965579155854FB5DFCA43E2B668062312EFCEFD44D75788DDE7137E8224F2E0593EA
53|3006|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD8254020000001ED4DBC08C3CA954792945DA37AE23C5C71DDFFF75211D77D8E3E91DE68F99544DD5E3EC1E164068A0155C44121CE747
